s vacf_x VACF
5460 4.0133949082232301962e-08 4.6169184195644044245e-08
5470 3.7841060141925618378e-08 5.0708865028507199198e-08
5480 3.5584123753399343508e-08 5.5560462945673306456e-08
5490 3.3321269718954935723e-08 6.0573362860522435393e-08
5500 3.1035517508317602974e-08 6.5618507513201829369e-08
5510 2.8745903203230375575e-08 7.0592760833359537728e-08
5520 2.6491123328927022222e-08 7.5409321382036684778e-08
5530 2.4322048388407685643e-08 8.0003850545584183082e-08
5540 2.2290461099047481168e-08 8.4350742666843683855e-08
5550 2.0441180586696562269e-08 8.8451574082196004468e-08
5560 1.8811116958434121017e-08 9.2336451813958727956e-08
5570 1.741717565451948355e-08 9.6047934381580533817e-08
5580 1.6263806769957177883e-08 9.9633669029407919554e-08
5590 1.5346745115874381632e-08 1.0313358467631839532e-07
5600 1.4657255626187873709e-08 1.0656944365909536654e-07
5610 1.4181842171076048505e-08 1.0991843323813841724e-07
5620 1.3887415433285096638e-08 1.1308821057354008457e-07
5630 1.3730125300600738032e-08 1.15942957082000741e-07
5640 1.3646631912698525872e-08 1.1832736034821354425e-07
5650 1.3566088989179146583e-08 1.2010510561404127482e-07
5660 1.3428963764254814947e-08 1.2118691111576378768e-07
5670 1.3206866915309173563e-08 1.2157155840710500814e-07
5680 1.2915299046416880609e-08 1.2133561071599762212e-07
5690 1.2613703044635159792e-08 1.20617135576379703e-07
5700 1.239179845122167512e-08 1.1958150538352833544e-07
5710 1.2334113187991926071e-08 1.1836871720376311777e-07
5720 1.2504819161027883812e-08 1.1706861931218059222e-07
5730 1.2938560065963942743e-08 1.1571699341461117048e-07
5740 1.363542732642877119e-08 1.1431255308864470355e-07
5750 1.4575759271131666606e-08 1.1285455574195262145e-07
5760 1.5733434286747293193e-08 1.1136576634864489311e-07
5770 1.7070457250334622019e-08 1.0989588439773104e-07
5780 1.8537950524606905404e-08 1.0851290214280611746e-07
5790 2.0075215569454577777e-08 1.0729217326946244672e-07
5800 2.1613508455632220338e-08 1.0629879975725346671e-07
5810 2.3084120626861650301e-08 1.0558113077097746783e-07
5820 2.4416017904446306697e-08 1.0514296298301703112e-07
5830 2.5530348954542500918e-08 1.0494581233583363313e-07
5840 2.6337707905582660342e-08 1.0490933933952681951e-07
5850 2.6756174178589396763e-08 1.0495223945593507725e-07
5860 2.6729361740363017636e-08 1.0501974871271544786e-07
5870 2.6237304480964160135e-08 1.0509847357054305077e-07
5880 2.5284002928298695014e-08 1.0519974662722619753e-07
5890 2.3889298358340486618e-08 1.0533241845549816202e-07
5900 2.2083616596777289076e-08 1.0550382280908239619e-07
5910 1.9911635329383620361e-08 1.0570534521718995474e-07
5920 1.743282041693898505e-08 1.0591168719292806427e-07
5930 1.4715150366667104224e-08 1.0609139206402815957e-07
5940 1.1829446780694203114e-08 1.061814110931135229e-07
5950 8.8279119613450622786e-09 1.0607329251767194143e-07
5960 5.7381278054678119523e-09 1.0560835014085850946e-07
